#Dane rzeczywiste: liczba logowañ w pewnym portalu randkowym.
"data_logowania	Dzien_tyg	Liczba_logowan"
"15-Mar-05	2	1367"
"16-Mar-05	3	1685"
"17-Mar-05	4	1769"
"18-Mar-05	5	1793"
"19-Mar-05	6	1593"
"20-Mar-05	7	1017"
"21-Mar-05	1	1043"
"22-Mar-05	2	1288"
"23-Mar-05	3	1569"
"24-Mar-05	4	1583"
"25-Mar-05	5	1547"
"26-Mar-05	6	1282"
"27-Mar-05	7	880"
"28-Mar-05	1	752"
"29-Mar-05	2	927"
"30-Mar-05	3	1365"
"31-Mar-05	4	1483"
"1-Kwi-05	5	1611"
"2-Kwi-05	6	1545"
"3-Kwi-05	7	1133"
"4-Kwi-05	1	1025"
"5-Kwi-05	2	1435"
"6-Kwi-05	3	1814"
"7-Kwi-05	4	1798"
"8-Kwi-05	5	1934"
"9-Kwi-05	6	1747"
"10-Kwi-05	7	1250"
"11-Kwi-05	1	1142"
"12-Kwi-05	2	1518"
"13-Kwi-05	3	1844"
"14-Kwi-05	4	1956"
"15-Kwi-05	5	1998"
"16-Kwi-05	6	1738"
"17-Kwi-05	7	1234"
"18-Kwi-05	1	1090"
"19-Kwi-05	2	1373"
"20-Kwi-05	3	1812"
"21-Kwi-05	4	1839"
"22-Kwi-05	5	1775"
"23-Kwi-05	6	1561"
"24-Kwi-05	7	1088"
"25-Kwi-05	1	975"
"26-Kwi-05	2	1512"
"27-Kwi-05	3	1931"
"28-Kwi-05	4	1991"
"29-Kwi-05	5	2009"
"30-Kwi-05	6	1342"
"1-Maj-05	7	968"
"2-Maj-05	1	953"
"3-Maj-05	2	1324"
"4-Maj-05	3	1719"
"5-Maj-05	4	1615"
"6-Maj-05	5	1774"
"7-Maj-05	6	1788"
"8-Maj-05	7	1241"
"9-Maj-05	1	1193"
"10-Maj-05	2	1603"
"11-Maj-05	3	2104"
"12-Maj-05	4	2218"
"13-Maj-05	5	2279"
"14-Maj-05	6	1804"
"15-Maj-05	7	1346"
"16-Maj-05	1	1257"
"17-Maj-05	2	1662"
"18-Maj-05	3	2213"
"19-Maj-05	4	2175"
"20-Maj-05	5	2242"
"21-Maj-05	6	1962"
"22-Maj-05	7	1381"
"23-Maj-05	1	1141"
"24-Maj-05	2	1577"
"25-Maj-05	3	1986"
"26-Maj-05	4	2181"
"27-Maj-05	5	2222"
"28-Maj-05	6	1761"
"29-Maj-05	7	1303"
"30-Maj-05	1	1117"
"31-Maj-05	2	1494"
"1-Cze-05	3	1886"
"2-Cze-05	4	2252"
"3-Cze-05	5	2121"
"4-Cze-05	6	1886"
"5-Cze-05	7	1340"
"6-Cze-05	1	1251"
"7-Cze-05	2	1670"
"8-Cze-05	3	1999"
"9-Cze-05	4	2293"
"10-Cze-05	5	2272"
"11-Cze-05	6	1859"
"12-Cze-05	7	1352"
"13-Cze-05	1	1331"
"14-Cze-05	2	1726"
"15-Cze-05	3	2232"
"16-Cze-05	4	2318"
"17-Cze-05	5	2189"
"18-Cze-05	6	1990"
"19-Cze-05	7	1418"
"20-Cze-05	1	1239"
"21-Cze-05	2	1664"
"22-Cze-05	3	1996"
"23-Cze-05	4	1984"
"24-Cze-05	5	1987"
"25-Cze-05	6	1804"
"26-Cze-05	7	1287"
"27-Cze-05	1	1087"
"28-Cze-05	2	1635"
"29-Cze-05	3	1981"
"30-Cze-05	4	1951"
"1-Lip-05	5	1985"
"2-Lip-05	6	1657"
"3-Lip-05	7	1208"
"4-Lip-05	1	1082"
"5-Lip-05	2	1400"
"6-Lip-05	3	1760"
"7-Lip-05	4	1899"
"8-Lip-05	5	1786"
"9-Lip-05	6	1639"
"10-Lip-05	7	1172"
"11-Lip-05	1	1116"
"12-Lip-05	2	1589"
"13-Lip-05	3	1862"
"14-Lip-05	4	1993"
"15-Lip-05	5	1940"
"16-Lip-05	6	1720"
"17-Lip-05	7	1190"
"18-Lip-05	1	1105"
"19-Lip-05	2	1606"
"20-Lip-05	3	2014"
"21-Lip-05	4	2059"
"22-Lip-05	5	2146"
"23-Lip-05	6	1728"
"24-Lip-05	7	1262"
"25-Lip-05	1	1136"
"26-Lip-05	2	1612"
"27-Lip-05	3	1882"
"28-Lip-05	4	1957"
"29-Lip-05	5	2066"
"30-Lip-05	6	1746"
"31-Lip-05	7	1134"
"1-Sie-05	1	1086"
"2-Sie-05	2	1399"
"3-Sie-05	3	1770"
"4-Sie-05	4	1925"
"5-Sie-05	5	1924"
"6-Sie-05	6	1635"
"7-Sie-05	7	1150"
"8-Sie-05	1	1056"
"9-Sie-05	2	1552"
"10-Sie-05	3	2029"
"		"
