#
###price in US dollars
#carat-    weight of the diamond
#cut-     quality of the cut (Fair, Good, Very Good, Premium, Ideal)
#color-    diamond colour, from J (worst) to D (best)
#clarity-    a measurement of how clear the diamond is (I1 (worst), SI2, SI1, VS2, VS1, VVS2, VVS1, IF (best))
#x-length in mm
#y-    width in mm
#z-    depth in mm 
#depth-    total depth percentage = z / mean(x, y) = 2 * z / (x + y) (43--79)
#table-    width of top of diamond relative to widest point (43--95)

carat,cut,color,clarity,depth,table,price,x,y,z
0.23     ,Ideal    ,E        ,SI2      ,61.5     ,55.0     ,  326    , 3.95    , 3.98    , 2.43    
0.21     ,Premium  ,E        ,SI1      ,59.8     ,61.0     ,  326    , 3.89    , 3.84    , 2.31    
0.23     ,Good     ,E        ,VS1      ,56.9     ,65.0     ,  327    , 4.05    , 4.07    , 2.31    
0.29     ,Premium  ,I        ,VS2      ,62.4     ,58.0     ,  334    , 4.20    , 4.23    , 2.63    
0.31     ,Good     ,J        ,SI2      ,63.3     ,58.0     ,  335    , 4.34    , 4.35    , 2.75    
0.24     ,Very Good,J        ,VVS2     ,62.8     ,57.0     ,  336    , 3.94    , 3.96    , 2.48    
0.24     ,Very Good,I        ,VVS1     ,62.3     ,57.0     ,  336    , 3.95    , 3.98    , 2.47    
0.26     ,Very Good,H        ,SI1      ,61.9     ,55.0     ,  337    , 4.07    , 4.11    , 2.53    
0.22     ,Fair     ,E        ,VS2      ,65.1     ,61.0     ,  337    , 3.87    , 3.78    , 2.49    
0.23     ,Very Good,H        ,VS1      ,59.4     ,61.0     ,  338    , 4.00    , 4.05    , 2.39    
0.30     ,Good     ,J        ,SI1      ,64.0     ,55.0     ,  339    , 4.25    , 4.28    , 2.73    
0.23     ,Ideal    ,J        ,VS1      ,62.8     ,56.0     ,  340    , 3.93    , 3.90    , 2.46    
0.22     ,Premium  ,F        ,SI1      ,60.4     ,61.0     ,  342    , 3.88    , 3.84    , 2.33    
0.31     ,Ideal    ,J        ,SI2      ,62.2     ,54.0     ,  344    , 4.35    , 4.37    , 2.71    
0.20     ,Premium  ,E        ,SI2      ,60.2     ,62.0     ,  345    , 3.79    , 3.75    , 2.27    
0.32     ,Premium  ,E        ,I1       ,60.9     ,58.0     ,  345    , 4.38    , 4.42    , 2.68    
